Miasto,Nazwa,Długość (km),Trudność,Typ terenu,Kategoria,Indeks komfortu,Wynik ważony,Szacowany czas
Wrocław,Trzciana,9.3,1/3,riverside,SPORTOWA,33.8/100,85.0/100,2h 19min
Wrocław,Ścieżka historyczno-przyrodnicza wokół Maślic,7.0,1/3,historical,SPORTOWA,33.8/100,85.0/100,1h 45min
Wrocław,Grabiszynka,2.01,1/3,riverside,RODZINNA,33.8/100,69.02/100,30min
Wrocław,Śluza Rędzin II,0.226,1/3,riverside,RODZINNA,33.8/100,65.45/100,3min
Wrocław,Śluza Rędzin I,0.203,1/3,riverside,RODZINNA,33.8/100,65.4/100,3min
Wrocław,Śluza Różanka,0.193,1/3,riverside,RODZINNA,33.8/100,65.38/100,3min
Wrocław,Śluza Bartoszowice,0.18769999999999998,1/3,riverside,RODZINNA,33.8/100,65.37/100,3min
Wrocław,Śluza Zacisze,0.187,1/3,riverside,RODZINNA,33.8/100,65.37/100,3min
Wrocław,Topór,18.0,2/3,riverside,EKSTREMALNA,33.8/100,59.0/100,5h 8min
Wrocław,Śluza Opatowice,74.6,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,24h 52min
Wrocław,śluza Szczytniki,55.0,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,18h 19min
Wrocław,Śluza Miejska,55.8,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,18h 36min
Wrocław,Śluza Mieszczańska,42.8,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,14h 16min
Wrocław,Śluza Piaskowa,39.1,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,13h 1min
Wrocław,Śluza Mieszczańska,42.8,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,14h 16min
Wrocław,Śluza Mieszczańska,42.8,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,14h 16min
Wrocław,"Wrocław Muchobór Wielki - Sobótka, PKP",35.6,3/3,mixed,EKSTREMALNA,33.8/100,25.0/100,11h 52min
Wrocław,Uraz - Kąty Wrocławskie,219.0,3/3,mixed,EKSTREMALNA,33.8/100,25.0/100,73h
Wrocław,Ślęza,84.0,3/3,riverside,EKSTREMALNA,33.8/100,25.0/100,28h
Wrocław,Via Regia,61.0,3/3,mixed,EKSTREMALNA,33.8/100,25.0/100,20h 19min
